A,B,C,D,E
0.2181348217751693,1.0737699599398685,-0.02150993187418628,0.3672504510125889,-2.1564563463318933
1.7703014198545626,0.8594287102980064,1.7503663110419294,0.19970347143391523,0.9196267579993193
-1.349796621289721,3.0962378506100166,0.9222410071073585,1.180038147315923,1.0064222337872453
-0.1485185161529315,1.0635670427362893,-0.033690981336249294,-0.3787154050764887,1.1444314950369305
0.19812204179347948,0.21642242456243063,0.05528066022869318,-1.3346501962283133,-0.5732234217563341
-1.579648967031994,0.9190725532718516,0.15282873908061997,0.9969012614236413,0.09209424538668345
-0.7437398391552215,-0.4014676549555306,0.7278589713291149,0.0984417019911095,-0.2464883017026033
-0.6447379217792859,-1.0602690574767764,-0.2788589814160228,0.2861327898252446,1.0858030989787697
0.19928505514128286,-0.6393182142916539,-0.9503826321336826,-0.9635270739397647,0.44686457294492715
0.32413106259744223,0.6401917857723155,0.7144391848460945,-0.46142406404208786,-0.4987710020127288
